permno,duration,end_year,start_year
79410,1,1978,1974
35131,4,1978,1969
19916,2,1978,1975
34631,1,1979,1975
59416,1,1979,1974
71096,1,1979,1974
48979,8,1979,1971
34948,1,1979,1979
70034,5,1979,1974
36185,4,1979,1975
42753,1,1979,1977
51378,3,1979,1975
39781,4,1979,1969
49920,5,1979,1972
15712,1,1979,1977
56741,2,1979,1977
25072,6,1979,1963
47917,1,1979,1977
10874,2,1979,1973
58122,3,1979,1976
26163,1,1979,1977
21143,1,1979,1974
62682,1,1979,1976
56506,1,1979,1974
15659,2,1979,1976
42471,2,1979,1974
59767,3,1979,1974
45890,8,1979,1970
50374,2,1979,1972
10145,1,1979,1975
47669,3,1979,1973
18382,2,1979,1977
16088,4,1979,1967
57963,1,1979,1974
22699,2,1979,1971
55386,2,1979,1974
31472,7,1979,1968
36134,1,1979,1978
17347,4,1979,1975
64013,5,1979,1974
14736,5,1979,1961
41574,1,1979,1967
54682,2,1979,1975
48734,1,1979,1976
20247,1,1979,1975
42033,2,1979,1978
64427,1,1979,1975
48347,2,1979,1974
22891,6,1979,1972
26606,5,1979,1964
12036,5,1979,1961
54068,3,1979,1976
43078,3,1979,1971
26227,7,1979,1970
46711,2,1979,1976
59248,2,1979,1977
44193,5,1979,1969
57488,3,1979,1975
23990,11,1979,1961
68938,2,1979,1976
29197,4,1979,1975
62383,2,1979,1977
53241,3,1979,1973
36898,1,1979,1974
65197,4,1979,1974
42366,7,1979,1969
67678,2,1980,1974
40142,2,1980,1975
49737,1,1980,1977
47554,4,1980,1970
39773,2,1980,1972
71731,1,1980,1974
30198,1,1980,1976
67328,3,1980,1977
61525,3,1980,1977
58798,1,1980,1978
39466,5,1980,1968
32038,4,1980,1974
53997,4,1980,1975
50593,3,1980,1976
60345,2,1980,1978
58704,2,1980,1978
33953,1,1980,1980
69121,4,1980,1974
46295,7,1980,1970
68647,5,1980,1974
24037,3,1980,1973
40994,1,1980,1976
28716,6,1980,1968
38447,5,1980,1969
79274,1,1980,1975
47984,1,1980,1971
52572,2,1980,1977
56354,2,1980,1974
18067,17,1980,1961
18156,1,1980,1977
26375,1,1980,1980
56629,4,1980,1974
67206,1,1980,1979
46818,7,1980,1970
18411,6,1980,1963
39045,2,1980,1974
52230,2,1980,1978
24010,7,1980,1963
53399,4,1980,1973
20853,5,1980,1963
21573,4,1980,1975
18403,16,1980,1961
18147,7,1980,1961
54412,5,1980,1974
23405,7,1980,1963
51423,3,1980,1975
67803,5,1980,1974
58894,3,1980,1975
37874,1,1980,1979
42585,4,1980,1967
25937,4,1980,1962
24491,6,1980,1963
36928,2,1980,1975
14322,15,1980,1961
24205,7,1980,1963
53524,1,1980,1973
26497,8,1980,1972
19692,8,1980,1965
24221,2,1980,1963
27158,2,1980,1975
38762,6,1980,1964
59221,2,1980,1975
13056,3,1980,1974
24256,6,1980,1963
59213,1,1980,1978
49496,1,1980,1978
46367,6,1980,1970
51828,6,1980,1973
23114,6,1980,1963
10137,5,1980,1963
19166,5,1980,1962
47969,2,1980,1975
16571,4,1980,1962
23827,4,1980,1963
22496,6,1980,1964
35975,4,1981,1975
47108,1,1981,1976
48135,3,1981,1977
58210,4,1981,1974
29103,1,1981,1981
45189,2,1981,1979
46324,2,1981,1972
44433,9,1981,1970
75417,1,1981,1980
53990,3,1981,1977
20160,3,1981,1975
43238,3,1981,1975
81753,4,1981,1975
59168,1,1981,1978
18446,5,1981,1961
22859,4,1981,1963
61436,1,1981,1981
59395,2,1981,1975
52396,1,1981,1980
42219,2,1981,1977
56135,2,1981,1974
24248,1,1981,1964
24336,1,1981,1979
24301,6,1981,1963
71811,1,1981,1976
23042,4,1981,1963
60273,2,1981,1975
50447,2,1981,1979
60361,6,1981,1975
45487,8,1981,1969
17022,2,1981,1979
45081,8,1981,1971
55554,3,1981,1974
46114,3,1981,1978
24360,4,1981,1963
24002,6,1981,1963
23210,5,1981,1963
27318,2,1981,1976
61321,1,1981,1979
17291,4,1981,1975
17822,9,1981,1968
