,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes,total_delistings
39,2001,2001-06-01,1016235000.0000001,-1.3026298,-0.38004492000000006,3812,1069,"{'SL': 1079, 'SM': 1223, 'SH': 1505, 'BL': 527, 'BM': 364, 'BH': 115}",0
40,2002,2002-06-01,1069791626.4190674,-1.41976737,-0.436252403,3666,1010,"{'SL': 690, 'SM': 1205, 'SH': 1838, 'BL': 406, 'BM': 377, 'BH': 97}",0
41,2003,2003-06-01,1019627381.3896179,-1.4739191600000001,-0.51834043,3305,979,"{'SL': 589, 'SM': 1112, 'SH': 1621, 'BL': 358, 'BM': 417, 'BH': 121}",0
42,2004,2004-06-01,1414873920.879364,-1.28898788,-0.4179835240000001,3163,983,"{'SL': 488, 'SM': 1145, 'SH': 1536, 'BL': 360, 'BM': 378, 'BH': 148}",0
43,2005,2005-06-01,1688811287.0321274,-1.51315615,-0.6677440200000003,3101,984,"{'SL': 684, 'SM': 1226, 'SH': 1193, 'BL': 354, 'BM': 330, 'BH': 164}",0
44,2006,2006-06-01,1939995124.786377,-1.56057404,-0.7804759960000001,3017,943,"{'SL': 702, 'SM': 1197, 'SH': 1172, 'BL': 308, 'BM': 326, 'BH': 169}",0
45,2007,2007-06-01,2370660105.3771973,-1.607619,-0.82430565,2887,901,"{'SL': 646, 'SM': 1060, 'SH': 1281, 'BL': 297, 'BM': 292, 'BH': 163}",0
46,2008,2008-06-01,1895885511.2609863,-1.63686498,-0.8408628440000001,2775,867,"{'SL': 614, 'SM': 1042, 'SH': 1231, 'BL': 274, 'BM': 287, 'BH': 154}",0
47,2009,2009-06-01,1304597539.0497282,-1.6084725000000002,-0.749960186,2678,832,"{'SL': 540, 'SM': 904, 'SH': 1322, 'BL': 314, 'BM': 258, 'BH': 141}",0
48,2010,2010-06-01,1595908765.296936,-1.1548933200000002,-0.210272636,2562,827,"{'SL': 459, 'SM': 951, 'SH': 1197, 'BL': 316, 'BM': 270, 'BH': 130}",0
49,2011,2011-06-01,2212658402.484894,-1.33375428,-0.487241722,2479,840,"{'SL': 527, 'SM': 740, 'SH': 1225, 'BL': 302, 'BM': 253, 'BH': 148}",0
50,2012,2012-06-01,1887189860.5957031,-1.47633092,-0.588785396,2448,845,"{'SL': 491, 'SM': 735, 'SH': 1175, 'BL': 302, 'BM': 266, 'BH': 165}",0
51,2013,2013-06-01,2263251085.647583,-1.3498856,-0.48536301,2355,811,"{'SL': 472, 'SM': 659, 'SH': 1148, 'BL': 306, 'BM': 239, 'BH': 169}",0
52,2014,2014-06-01,2792449591.041565,-1.437838,-0.56556582,2308,831,"{'SL': 446, 'SM': 609, 'SH': 1147, 'BL': 299, 'BM': 248, 'BH': 177}",0
53,2015,2015-06-01,2455515767.948151,-1.61210258,-0.6457210800000001,2289,819,"{'SL': 453, 'SM': 708, 'SH': 964, 'BL': 308, 'BM': 292, 'BH': 171}",0
54,2016,2016-06-01,2044485912.952423,-1.69328265,-0.58692765,2252,776,"{'SL': 441, 'SM': 754, 'SH': 894, 'BL': 295, 'BM': 295, 'BH': 163}",0
55,2017,2017-06-01,2247029075.164795,-1.59420516,-0.4530733699999999,2173,734,"{'SL': 367, 'SM': 780, 'SH': 831, 'BL': 303, 'BM': 290, 'BH': 154}",0
